Entreprise,TitlePub,Lien_offre,Info_post,langue,nfo_entreprise,Type_Contrat,Metier,Profile_cherche,Experience,Niveau_etude,Salaire,Date_pub,Secteur_activite,Location
liliads,EXPERTS EN ÉNERGIES RENOUVELABLES FRANCOPHONES AVEC DISPONIBILITÉ IMMÉDIATE SALAIRE 6000 DH CASABLANCA,https://www.m-job.ma/offres-emploi/114067-experts-en-energies-renouvelables-francophones-avec-disponibilite-immediate-salaire-6000-dh-casablanca-2-casablanca,"Dans le cadre de notre développement continu, nous recrutons des experts en énergies renouvelables francophones avec disponibilité immédiate. Votre mission consistera à: • Identifier rapidement les clients éligibles. • D'écouter et de conseiller les clients • Fixer le RDV Vous justifiez d'une expérience dans la prise de RDV Vous avez un esprit d'équipe et vous souhaitez-vous épanouir dans un cadre agréable. Vous souhaitez travailler pour une équipe ambitieuse et des objectifs atteignables, m3s call vous assure un plan d'épanouissement professionnel et un cadre propice pour faire briller vos talents. Avantage : CDI +CNSS+AMO //WEEK-END OFF Nous vous proposons : Un salaire motivant 6000 dhs(fixe + primes non plafonnées + challenges internes). Un cadre de travail convivial et à Boulevard ABDELMOUMEN",Français,"Notre service vous aide à accroître vos ventes, à améliorer votre taux de trafic qualifié et à faire connaître vos produits à des nouveaux clients. Les entreprises peuvent réécouter les appels effectués par les téléprospecteurs. Ainsi, elles payent uniquement les prestations qui correspondent intégralement au cahier des charges qu'elles ont défini.",CDI,Télécoms / Réseaux,téléconseiller,Débutant (de 1 à 3 ans),BAC+2,de 4000 dh à 6000 dh,L'offre a été publiée il y a 3 mois avant sur le site.,Télécoms / Réseaux,Casablanca

Shoperle SARL,English Customer Support for E-commerce Business.,https://www.m-job.ma/offres-emploi/114871-english-customer-support-for-e-commerce-business-meknes,"We are looking to hire a customer service agent for an e-commerce business. The job will be full-time (7-8 hours daily) and remote. Profil recherché : - excellent written communication skills in English - problem-solving skills - very organized and detail-oriented - Ability to adapt easily and handle varied situations efficiently As the job is remote, owning a good computer and having a good internet connection is a requirement.",Anglais,"on est une société spécialisé en commercialisation des produit solide, produit et bijoux des femmes, cadeaux.",Free Lance,,English Customer Support for E-commerce Business.,Fraichement diplômé / Débutant (de 1 à 3 ans) / Junior (de 3 à 5 ans) / Senior (de 5 à 7 ans) / Confirmé (de 7 à 10 ans) / + 10 ans,NIV BAC ET MOINS / BAC / BAC+1 / BAC+2 / BAC+3 / BAC+4 / BAC+5 et plus,A négocier,L'offre a été publiée il y a 3 semaines avant sur le site.,Tourisme / Hôtellerie / Restauration,Maroc

SKILLZ recrutement,CONSEILLER CLIENT NEERLANDAIS (FULL REMOTE),https://www.m-job.ma/offres-emploi/114853-conseiller-client-neerlandais-full-remote-casablanca,"Candidats ayant une experience en gestion de la relation client Avoir le Neerlandai bien maitrisé maîtriser les situations difficiles, maîtriser la relation client, connaître parfaitement les produits ou les services, Parfaite rédaction, maîtriser les outils de bureautique.",Arabe / Français / Anglais,"SKILLZ est une firme de recrutement offrant une gamme étendue de services visant à aider les entreprises à se doter des ressources humaines nécessaires pour atteindre leurs objectifs d'affaires. Notre équipe complémentaire et multidisciplinaire nous permet de servir une clientèle provenant de secteurs d'activités variés et à exécuter des mandats dans différents domaines professionnels. Passionnées par les enjeux et les challenges du monde de l'entreprise, les consultants de SKILLZ mettent leurs expertises, leurs atouts et leurs pragmatismes aux services de leurs clients. Soucieux de vos besoins, notre cabinet est prêt pour vous trouver les bons candidats en respectant l'aspect le plus important (le timing & la qualité). Notre site web est conçu pour mettre votre entreprise et vos offres d'emploi en valeur et aussi vous garantir une visibilité sur tout les réseaux sociaux de la toile. enfin conçu pour les candidats, leur permettant de trouver l'entreprise qui leur correspond réellement en fonction de leurs aspirations professionnelles. Notre jobboard offre une grande visibilité sur le marché de l'emploi grâce à notre excellent positionnement et notre stratégie de référencement sur le web, nos techniques de publication d'offres web 3.0. SKILLZ est aussi la référence du recrutement d'étudiants et de jeunes talents au Maroc. Basés à Casablanca, nous accompagnons nos clients partout au Maroc et à l'international.",CDI,Métiers des centres d'appels / Tourisme / Hôtellerie / Restauration,"OBJECTIF Servir les clients, les agents de voyages et les fournisseurs, assurer le suivi administratif et organisationnel des dossiers et contribuer activement au processus de vente afin d'offrir un service rapide et correct, de proposer la solution la plus adéquate de manière rapide et correcte et de contribuer à l'atteinte des objectifs de l'organisation. Les collaborateurs servent de back-up pour d'autres départements Customer Services et sont par conséquent back-up des autres départements/tâches Customer Services. Domaines de résultats Agir comme premier point de contact pour le client, l'agent de voyages, le fournisseur ou le collaborateur interne afin d'offrir un service efficace et orienté client en vue d'atteindre une satisfaction maximale auprès des clients. Notamment Répondre aux questions sur les différents canaux (ex. téléphone, e-mail, chat) Traiter les demandes entrantes, les remarques et les problèmes qui concernent les ventes, effectuer des réservations et fournir des informations afin de proposer la solution la plus adéquate de manière rapide et correcte. Traiter et tenir à jour les dossiers dans les systèmes (données clients, hôteliers, autres fournisseurs...) afin de disposer à tout moment d'informations correctes et à jour. Réaliser diverses opérations administratives afin de traiter les demandes qui sont arrivées. Notamment Enregistrer et traiter les réservations (ex. réservations de sièges, assistances et autres SSR...) Effectuer des calculs de prix Traiter les demandes spéciales Le cas échéant, sous réserve de l'accord du chef d'équipe, endosser un rôle d'expert afin d'accompagner d'autres agents pour résoudre des questions plus complexes et les soutenir dans l'exécution des activités quotidiennes (p. ex. formation sur le terrain/encyclopédie) Signaler les erreurs dans les processus, les systèmes et le contenu afin de garantir la continuité du département. Mettre à jour et entretenir les connaissances professionnelles et les compétences techniques sur le plan des Customer Services afin de maximiser ses propres connaissances professionnelles et de les appliquer de façon optimale au sein de l'organisation. Notamment Assister à des formations données en interne et à des séances d'information Suivre des formations externes Partager son expérience et ses connaissances avec les collègues",Débutant (de 1 à 3 ans) / Junior (de 3 à 5 ans) / Senior (de 5 à 7 ans) / Confirmé (de 7 à 10 ans) / + 10 ans,BAC / BAC+1 / BAC+2 / BAC+3 / BAC+4 / BAC+5 et plus,de 10 000 dh à 15 000 dh,L'offre a été publiée il y a 3 semaines avant sur le site.,Tourisme / Hôtellerie / Restauration,Casablanca

ANP-Emploi,gérant espace touristique H/F,https://www.m-job.ma/offres-emploi/114569-gerant-espace-touristique-hf-taounate,"Excellentes compétences de communication, capacité à diriger et motiver une équipe. Attitude de service à la clientèle. Diplome en gestion des entreprises/Tourisme/Hotellerie",Arabe / Français,"Gérer les opérations quotidiennes de l'espace touristique / hotel 16 chambres+café et restaurant. Assurer la coordination avec les fournisseurs et commander les marchandises selon les besoins. Conserver des registres à jour desrecettes et dépenses quotidiennes, hebdomadaires et mensuelles.",CDI / CDD,Tourisme / Hôtellerie / Restauration,gérant espace touristique H/F,Junior (de 3 à 5 ans),BAC+2,de 4000 dh à 6000 dh,L'offre a été publiée il y a 1 mois avant sur le site.,Tourisme / Hôtellerie / Restauration,Taounate

SKILLZ recrutement,Assistant administrative Bilingue FR/EN,https://www.m-job.ma/offres-emploi/114007-assistant-administrative-bilingue-fren-casablanca,"Vos missions : Tâches de secrétariat courant : Gestion du standard téléphonique, Gestion du courrier Gestion des mails: Intérim, Facturation et général Facturation client et vérification des factures Gestion des fournitures bureau Maîtrise des logiciels Word, Excel, Outlook obligatoire Connaissance des logiciels de gestion est un plus",Français / Anglais,"SKILLZ est une firme de recrutement offrant une gamme étendue de services visant à aider les entreprises à se doter des ressources humaines nécessaires pour atteindre leurs objectifs d'affaires. Notre équipe complémentaire et multidisciplinaire nous permet de servir une clientèle provenant de secteurs d'activités variés et à exécuter des mandats dans différents domaines professionnels. Passionnées par les enjeux et les challenges du monde de l'entreprise, les consultants de SKILLZ mettent leurs expertises, leurs atouts et leurs pragmatismes aux services de leurs clients. Soucieux de vos besoins, notre cabinet est prêt pour vous trouver les bons candidats en respectant l'aspect le plus important (le timing & la qualité). Notre site web est conçu pour mettre votre entreprise et vos offres d'emploi en valeur et aussi vous garantir une visibilité sur tout les réseaux sociaux de la toile. enfin conçu pour les candidats, leur permettant de trouver l'entreprise qui leur correspond réellement en fonction de leurs aspirations professionnelles. Notre jobboard offre une grande visibilité sur le marché de l'emploi grâce à notre excellent positionnement et notre stratégie de référencement sur le web, nos techniques de publication d'offres web 3.0. SKILLZ est aussi la référence du recrutement d'étudiants et de jeunes talents au Maroc. Basés à Casablanca, nous accompagnons nos clients partout au Maroc et à l'international.",CDI,Comptabilité / Gestion / Audit / Secrétariat / Services Généraux / Tourisme / Hôtellerie / Restauration,"Exigences Expérience confirmée en tant qu'assistante admin Connaissance de la réglementation sur les voyages internationaux, les douanes et les devises Connaissance des rapports et du traitement des frais de déplacement et de représentation Connaissance pratique des solutions MS Office Excellentes compétences de communication (orale et écrite) et de négociation Bien organisé et fiable Esprit analytique avec un sens aigu des affaires Approche orientée vers la clientèle Diplôme d’études secondaires ou équivalent ; le baccalauréat est obligatoire Une formation en tourisme et voyages est un plus",Débutant (de 1 à 3 ans) / Junior (de 3 à 5 ans) / Senior (de 5 à 7 ans) / Confirmé (de 7 à 10 ans) / + 10 ans,BAC / BAC+1 / BAC+2 / BAC+3 / BAC+4 / BAC+5 et plus,A négocier,L'offre a été publiée il y a 3 mois avant sur le site.,Tourisme / Hôtellerie / Restauration,Casablanca

SKILLZ recrutement,AGENTS DE VOYAGES NEERLANDAIS DUTCH (PART TIME JOB),https://www.m-job.ma/offres-emploi/114005-agents-de-voyages-neerlandais-dutch-part-time-job-casablanca,"Candidats ayant une experience en gestion de la relation client Avoir le Neerlandai bien maitrisé maîtriser les situations difficiles, maîtriser la relation client, connaître parfaitement les produits ou les services, Parfaite rédaction, maîtriser les outils de bureautique.",L'offre a été publiée il y a 3 mois avant sur le site.,"SKILLZ est une firme de recrutement offrant une gamme étendue de services visant à aider les entreprises à se doter des ressources humaines nécessaires pour atteindre leurs objectifs d'affaires. Notre équipe complémentaire et multidisciplinaire nous permet de servir une clientèle provenant de secteurs d'activités variés et à exécuter des mandats dans différents domaines professionnels. Passionnées par les enjeux et les challenges du monde de l'entreprise, les consultants de SKILLZ mettent leurs expertises, leurs atouts et leurs pragmatismes aux services de leurs clients. Soucieux de vos besoins, notre cabinet est prêt pour vous trouver les bons candidats en respectant l'aspect le plus important (le timing & la qualité). Notre site web est conçu pour mettre votre entreprise et vos offres d'emploi en valeur et aussi vous garantir une visibilité sur tout les réseaux sociaux de la toile. enfin conçu pour les candidats, leur permettant de trouver l'entreprise qui leur correspond réellement en fonction de leurs aspirations professionnelles. Notre jobboard offre une grande visibilité sur le marché de l'emploi grâce à notre excellent positionnement et notre stratégie de référencement sur le web, nos techniques de publication d'offres web 3.0. SKILLZ est aussi la référence du recrutement d'étudiants et de jeunes talents au Maroc. Basés à Casablanca, nous accompagnons nos clients partout au Maroc et à l'international.",CDI,Métiers des centres d'appels / Tourisme / Hôtellerie / Restauration,"OBJECTIF Servir les clients, les agents de voyages et les fournisseurs, assurer le suivi administratif et organisationnel des dossiers et contribuer activement au processus de vente afin d'offrir un service rapide et correct, de proposer la solution la plus adéquate de manière rapide et correcte et de contribuer à l'atteinte des objectifs de l'organisation. Les collaborateurs servent de back-up pour d'autres départements Customer Services et sont par conséquent back-up des autres départements/tâches Customer Services. Domaines de résultats Agir comme premier point de contact pour le client, l'agent de voyages, le fournisseur ou le collaborateur interne afin d'offrir un service efficace et orienté client en vue d'atteindre une satisfaction maximale auprès des clients. Notamment Répondre aux questions sur les différents canaux (ex. téléphone, e-mail, chat) Traiter les demandes entrantes, les remarques et les problèmes qui concernent les ventes, effectuer des réservations et fournir des informations afin de proposer la solution la plus adéquate de manière rapide et correcte. Traiter et tenir à jour les dossiers dans les systèmes (données clients, hôteliers, autres fournisseurs...) afin de disposer à tout moment d'informations correctes et à jour. Réaliser diverses opérations administratives afin de traiter les demandes qui sont arrivées. Notamment Enregistrer et traiter les réservations (ex. réservations de sièges, assistances et autres SSR...) Effectuer des calculs de prix Traiter les demandes spéciales Le cas échéant, sous réserve de l'accord du chef d'équipe, endosser un rôle d'expert afin d'accompagner d'autres agents pour résoudre des questions plus complexes et les soutenir dans l'exécution des activités quotidiennes (p. ex. formation sur le terrain/encyclopédie) Signaler les erreurs dans les processus, les systèmes et le contenu afin de garantir la continuité du département. Mettre à jour et entretenir les connaissances professionnelles et les compétences techniques sur le plan des Customer Services afin de maximiser ses propres connaissances professionnelles et de les appliquer de façon optimale au sein de l'organisation. Notamment Assister à des formations données en interne et à des séances d'information Suivre des formations externes Partager son expérience et ses connaissances avec les collègues",Débutant (de 1 à 3 ans) / Junior (de 3 à 5 ans) / Senior (de 5 à 7 ans) / Confirmé (de 7 à 10 ans) / + 10 ans,NIV BAC ET MOINS / BAC / BAC+1 / BAC+2 / BAC+3 / BAC+4 / BAC+5 et plus,de 8000 dh à 10 000 dh,L'offre a été publiée il y a 3 mois avant sur le site.,Tourisme / Hôtellerie / Restauration,Casablanca
